oid,ndethist,ncovhist,mjdstarthist,mjdendhist,corrected,stellar,ndet,g_r_max,g_r_max_corr,g_r_mean,g_r_mean_corr,firstmjd,lastmjd,deltajd,meanra,meandec,sigmara,sigmadec,class,classifier,probability,step_id_corr,target_class,candid_used,stamp_dir,stamp_error,fid,fid_band,magpsf,sigmapsf,sgscore1,sgscore2,sgscore3,distpsnr1,distpsnr2,distpsnr3,classtar,fwhm,isdiffpos,alert_ndethist,alert_ncovhist,chinr,sharpnr
ZTF18aaxfcmb,18,3436,58214.25,60169.25,True,False,4,3.247604,2.750127,0.60610944,2.270909,58469.53039349988,60169.28392359987,1699.753530099988,229.500398825,23.7278444,0.000170131721018,4.80290190061223e-05,VS,stamp_classifier,0.9689228,1.2.0,VS,,F:\ZTF_Adjusted_Dataset\stamps\VS\ZTF18aaxfcmb,,,,,,,,,,,,,,,,,,
ZTF18acdsbof,93,6062,58124.30597219989,61100.25745370006,True,False,33,,,,,58427.36395830009,61100.25745370006,2672.8934953999706,102.35044173645647,29.646902741831244,0.0089863707356719,0.007809967266101,VS,stamp_classifier,0.9663276,27.5.7a32.dev1,VS,6.733639506150156e+17,F:\ZTF_Adjusted_Dataset\stamps\VS\ZTF18acdsbof,,1.0,g,15.317928314208984,0.022638468071818352,1.0,0.09748809784650803,0.763018012046814,0.7830246090888977,9.850292205810547,15.160456657409668,0.9959999918937683,2.9830589294433594,t,2.0,277.0,0.32499998807907104,0.004999999888241291
ZTF17aadpvkd,23,5818,58041.50626160018,61085.23313659988,True,True,15,2.423879,0.389779,1.0244043,0.21663654,58427.36395830009,61085.23313659988,2657.869178299792,102.47847680850197,29.69461493366141,0.0102054064664562,0.0088652128605776,VS,stamp_classifier,0.96588504,27.5.7a32.dev1,VS,6.804534061150152e+17,F:\ZTF_Adjusted_Dataset\stamps\VS\ZTF17aadpvkd,,2.0,r,15.68759536743164,0.0951981395483017,1.0,0.5,0.5581369996070862,0.5532882809638977,4.451533794403076,11.022015571594238,0.9959999918937683,2.0010178089141846,t,10.0,302.0,0.675000011920929,-0.024000000208616257
ZTF21aaetser,26,3471,58308.17017359985,60632.55785880005,True,False,3,,,,,59206.5143749998,60632.55785880005,1426.0434838002548,218.68245947159667,8.466567875444388,0.0446156730324996,0.0441294487808,VS,stamp_classifier,0.9655817,25.0.0,VS,1.47554799141501e+18,F:\ZTF_Adjusted_Dataset\stamps\VS\ZTF21aaetser,,1.0,g,17.95237922668457,0.17098590731620789,0.9979169964790344,0.5,0.014541699551045895,1.5903899669647217,9.696027755737305,23.0919189453125,0.7670000195503235,2.2237565517425537,f,7.0,970.0,0.8289999961853027,-0.04600000008940697
ZTF18achzkro,57,5785,58041.50626160018,61076.19041670021,True,True,34,,,,,58425.42572919978,61076.19041670021,2650.7646875004284,102.4919654557252,29.74175422521489,0.0137025894644144,0.0118975500160303,VS,stamp_classifier,0.96481854,27.5.7a32.dev1,VS,6.804534061150152e+17,F:\ZTF_Adjusted_Dataset\stamps\VS\ZTF18achzkro,,2.0,r,15.646595001220703,0.09232784062623978,1.0,0.9548540115356445,0.43217000365257263,0.48651793599128723,10.841567993164062,11.284080505371094,0.9950000047683716,2.0010178089141846,t,7.0,301.0,1.1260000467300415,-0.02500000037252903
ZTF26aamilav,19,3914,58572.416516200174,61116.422395799775,False,False,1,,,,,61116.422395799775,61116.422395799775,0.0,223.1957555,6.8883375,0.0100727071985602,0.0099999997764825,VS,stamp_classifier,0.9643146,27.5.7a32.dev1,VS,3.362422395115015e+18,F:\ZTF_Adjusted_Dataset\stamps\VS\ZTF26aamilav,,3.0,i,13.689831733703613,0.016063429415225983,0.5,0.5,0.9597740173339844,1.866479754447937,3.039687395095825,20.079805374145508,0.9959999918937683,1.7127705812454224,t,19.0,3914.0,0.7049999833106995,0.04500000178813934
ZTF17aadkqgc,28,4832,58041.463981499895,61121.14399310015,True,False,10,,,,,58856.322743100114,61121.14399310015,2264.8212500000373,105.76317152908489,31.79477084634262,0.0287141969364949,0.0244053670320826,VS,stamp_classifier,0.964265,27.5.7a32.dev1,VS,1.129192143015015e+18,F:\ZTF_Adjusted_Dataset\stamps\VS\ZTF17aadkqgc,,2.0,r,14.984134674072266,0.06051544472575188,0.8756250143051147,0.391167014837265,0.6411700248718262,0.7735628485679626,5.667325496673584,15.106440544128418,0.996999979019165,1.4326761960983276,t,13.0,1670.0,4.210000038146973,0.004999999888241291
ZTF17aadpvla,40,5850,58041.46076390008,61095.217152799945,True,False,14,2.577341,0.4424925,1.0806582,0.22207837,58427.36395830009,61095.217152799945,2667.853194499854,102.41709361294376,29.69747946394393,0.0102616621944369,0.0089138267710385,VS,stamp_classifier,0.9634769,27.5.7a32.dev1,VS,6.73363950615016e+17,F:\ZTF_Adjusted_Dataset\stamps\VS\ZTF17aadpvla,,1.0,g,16.299861907958984,0.06391897052526474,0.9944170117378235,0.7034379839897156,0.956957995891571,1.0449409484863281,9.489615440368652,13.023540496826172,0.9139999747276306,2.9830589294433594,t,7.0,278.0,0.5740000009536743,-0.012000000104308128
ZTF18abqqqic,28,2906,58373.32673610002,60656.15067130001,True,True,8,,,,,58373.32673610002,60656.15067130001,2282.8239351999946,15.90645858703658,7.868474759463522,0.0269599245494056,0.0267060951524542,VS,stamp_classifier,0.9634708,25.0.0,VS,6.193267348150102e+17,F:\ZTF_Adjusted_Dataset\stamps\VS\ZTF18abqqqic,,2.0,r,15.080442428588867,0.045867372304201126,1.0,0.9856250286102295,0.6937680244445801,0.4253014326095581,20.660247802734375,21.450063705444336,0.996999979019165,1.6773751974105835,f,1.0,117.0,0.9900000095367432,0.04899999871850014
ZTF23abntiay,1700,2597,58262.3347800998,60697.569838,True,False,5,,,,,60690.5637730998,60697.569838,7.006064900197089,262.9455948600066,-7.35969288,0.0383289277469639,0.0380131560173365,VS,stamp_classifier,0.9624917,26.0.1,VS,2.9435698362150103e+18,F:\ZTF_Adjusted_Dataset\stamps\VS\ZTF23abntiay,,2.0,r,14.895063400268555,0.04407795891165733,0.9518629908561707,0.8227800130844116,0.19814300537109375,0.9394524097442627,9.054427146911621,11.462207794189453,0.9879999756813049,5.980000019073486,f,1700.0,2597.0,0.6269999742507935,-0.027000000700354576
