oid,ndethist,ncovhist,mjdstarthist,mjdendhist,corrected,stellar,ndet,g_r_max,g_r_max_corr,g_r_mean,g_r_mean_corr,firstmjd,lastmjd,deltajd,meanra,meandec,sigmara,sigmadec,class,classifier,probability,step_id_corr,target_class,candid_used,stamp_dir,stamp_error,fid,fid_band,magpsf,sigmapsf,sgscore1,sgscore2,sgscore3,distpsnr1,distpsnr2,distpsnr3,classtar,fwhm,isdiffpos,alert_ndethist,alert_ncovhist,chinr,sharpnr
ZTF26aapnqlu,1,1733,61124.20571759995,61124.20571759995,False,False,1,,,,,61124.20571759995,61124.20571759995,0.0,121.4807277,-6.0438722,0.0653633177280426,0.0649999976158142,asteroid,stamp_classifier,1.0,27.5.7a32.dev1,asteroid,3370205710615015028,F:\ZTF_Adjusted_Dataset\stamps\asteroid\ZTF26aapnqlu,,1.0,g,19.942516326904297,0.1650768369436264,0.852387011051178,0.9317499995231628,0.9636459946632385,5.251626491546631,11.337669372558594,14.467206954956055,0.9610000252723694,2.5199999809265137,t,1.0,1733.0,0.6790000200271606,-0.03999999910593033
ZTF26aapmzwj,1,1550,61124.18091440015,61124.18091440015,False,False,1,,,,,61124.18091440015,61124.18091440015,0.0,167.710828,11.0579025,0.0866079777479171,0.0850000008940696,asteroid,stamp_classifier,1.0,27.5.7a32.dev1,asteroid,3370180911715015030,F:\ZTF_Adjusted_Dataset\stamps\asteroid\ZTF26aapmzwj,,2.0,r,19.13827896118164,0.09723825752735138,0.002916669938713312,0.5,-999.0,14.40716552734375,24.48211097717285,-999.0,0.9829999804496765,1.9600000381469727,t,1.0,1550.0,1.1979999542236328,-0.3310000002384186
ZTF26aapmzzd,1,1403,61124.18280090019,61124.18280090019,False,False,1,,,,,61124.18280090019,61124.18280090019,0.0,165.5250004,-3.9962774,0.0852071717381477,0.0850000008940696,asteroid,stamp_classifier,1.0,27.5.7a32.dev1,asteroid,3370182802315015013,F:\ZTF_Adjusted_Dataset\stamps\asteroid\ZTF26aapmzzd,,2.0,r,17.03756332397461,0.03451823815703392,0.5,0.003958330024033785,0.00783332996070385,8.508185386657715,8.516714096069336,11.81967830657959,0.996999979019165,2.1700000762939453,t,1.0,1403.0,1.340999960899353,-0.13600000739097595
ZTF26aapmzwq,1,1551,61124.18091440015,61124.18091440015,False,False,1,,,,,61124.18091440015,61124.18091440015,0.0,167.09366299999996,10.8187228,0.086538128554821,0.0850000008940696,asteroid,stamp_classifier,1.0,27.5.7a32.dev1,asteroid,3370180911715015022,F:\ZTF_Adjusted_Dataset\stamps\asteroid\ZTF26aapmzwq,,2.0,r,20.01127815246582,0.2112722247838974,0.5,0.0,0.5,15.9058256149292,16.599807739257812,21.368200302124023,0.9649999737739563,1.600000023841858,t,1.0,1551.0,0.7829999923706055,-0.20600000023841858
ZTF26aapmzwl,1,1442,61124.18091440015,61124.18091440015,False,False,1,,,,,61124.18091440015,61124.18091440015,0.0,167.7695405,11.4428112,0.0867237895727157,0.0850000008940696,asteroid,stamp_classifier,1.0,27.5.7a32.dev1,asteroid,3370180911715015005,F:\ZTF_Adjusted_Dataset\stamps\asteroid\ZTF26aapmzwl,,2.0,r,19.34627914428711,0.1206638440489769,0.00774999987334013,0.00791667029261589,-999.0,20.968334197998047,27.509443283081055,-999.0,0.9980000257492065,2.049999952316284,t,1.0,1442.0,0.7020000219345093,-0.16099999845027924
ZTF26aapmzwr,1,1572,61124.18091440015,61124.18091440015,False,False,1,,,,,61124.18091440015,61124.18091440015,0.0,167.5856873,10.846952,0.0865462943911552,0.0850000008940696,asteroid,stamp_classifier,1.0,27.5.7a32.dev1,asteroid,3370180911715015023,F:\ZTF_Adjusted_Dataset\stamps\asteroid\ZTF26aapmzwr,,2.0,r,20.259279251098633,0.20685230195522308,0.08712500333786011,0.01291669998317957,-999.0,14.004074096679688,17.466386795043945,-999.0,0.8840000033378601,1.1280903816223145,t,1.0,1572.0,1.2660000324249268,-0.1589999943971634
ZTF26aapnadu,1,977,61124.18703699997,61124.18703699997,False,False,1,,,,,61124.18703699997,61124.18703699997,0.0,147.6756473,-16.009239,0.0884295403957367,0.0850000008940696,asteroid,stamp_classifier,1.0,27.5.7a32.dev1,asteroid,3370187034415015005,F:\ZTF_Adjusted_Dataset\stamps\asteroid\ZTF26aapnadu,,2.0,r,19.817258834838867,0.17343232035636902,0.8434169888496399,0.9751790165901184,-999.0,23.088085174560547,26.364055633544922,-999.0,0.968999981880188,2.9000000953674316,t,1.0,977.0,0.7289999723434448,-0.16300000250339508
ZTF26aapmzwp,1,1550,61124.18091440015,61124.18091440015,False,False,1,,,,,61124.18091440015,61124.18091440015,0.0,167.6818453,11.1880225,0.0866466537117958,0.0850000008940696,asteroid,stamp_classifier,1.0,27.5.7a32.dev1,asteroid,3370180911715015019,F:\ZTF_Adjusted_Dataset\stamps\asteroid\ZTF26aapmzwp,,2.0,r,20.02427864074707,0.1882886290550232,0.0,0.0,0.05504170060157776,15.150362968444824,22.28789710998535,29.20968246459961,0.9639999866485596,2.369999885559082,t,1.0,1550.0,0.8460000157356262,-0.30399999022483826
ZTF26aapmzwn,1,1507,61124.18091440015,61124.18091440015,False,False,1,,,,,61124.18091440015,61124.18091440015,0.0,166.95047760000003,11.2610331,0.0866685733199119,0.0850000008940696,asteroid,stamp_classifier,1.0,27.5.7a32.dev1,asteroid,3370180911715015016,F:\ZTF_Adjusted_Dataset\stamps\asteroid\ZTF26aapmzwn,,2.0,r,19.707279205322266,0.12110583484172821,1.0,0.0008333330042660236,0.9014170169830322,14.723528861999512,16.48246192932129,21.254714965820312,0.9769999980926514,1.9299999475479126,t,1.0,1507.0,0.6859999895095825,-0.03400000184774399
ZTF26aapmzwo,1,1688,61124.18091440015,61124.18091440015,False,False,1,,,,,61124.18091440015,61124.18091440015,0.0,167.4733386,11.5974163,0.0867715030908584,0.0850000008940696,asteroid,stamp_classifier,1.0,27.5.7a32.dev1,asteroid,3370180911715015001,F:\ZTF_Adjusted_Dataset\stamps\asteroid\ZTF26aapmzwo,,2.0,r,19.349279403686523,0.1091720461845398,1.0,1.0,0.0012499999720603228,19.15648078918457,27.754098892211914,29.89859390258789,0.9829999804496765,1.8200000524520874,t,1.0,1688.0,0.515999972820282,0.11500000208616257
