oid,ndethist,ncovhist,mjdstarthist,mjdendhist,corrected,stellar,ndet,g_r_max,g_r_max_corr,g_r_mean,g_r_mean_corr,firstmjd,lastmjd,deltajd,meanra,meandec,sigmara,sigmadec,class,classifier,probability,step_id_corr,target_class,candid_used,stamp_dir,stamp_error,fid,fid_band,magpsf,sigmapsf,sgscore1,sgscore2,sgscore3,distpsnr1,distpsnr2,distpsnr3,classtar,fwhm,isdiffpos,alert_ndethist,alert_ncovhist,chinr,sharpnr
ZTF24abiyjwi,1,1502,60577.433252300136,60577.433252300136,False,False,1,,,,,60577.433252300136,60577.433252300136,0.0,37.6540933,-20.6594152,0.0694671422243118,0.0649999976158142,bogus,stamp_classifier,0.97727555,24.5.2a6,bogus,2.823433255615015e+18,F:\ZTF_Adjusted_Dataset\stamps\bogus\ZTF24abiyjwi,,1.0,g,18.85637664794922,0.20448991656303406,0.0008333330042660236,-999.0,-999.0,26.031179428100586,-999.0,-999.0,0.9890000224113464,1.6299999952316284,t,1.0,1502.0,1.2769999504089355,1.3289999961853027
ZTF19aabrghe,21,2084,58491.26675930014,60392.1478587999,False,False,1,,,,,60392.1478587999,60392.1478587999,0.0,111.77896590000002,-13.560802,0.0874376147985458,0.0850000008940696,bogus,stamp_classifier,0.9764421,23.12.25,bogus,2.638147856115015e+18,F:\ZTF_Adjusted_Dataset\stamps\bogus\ZTF19aabrghe,,2.0,r,17.319414138793945,0.1274566948413849,0.9152380228042603,0.9300000071525574,0.984749972820282,3.3967251777648926,4.700074672698975,5.498142242431641,0.48899999260902405,2.2400271892547607,t,21.0,2084.0,0.9480000138282776,0.0
ZTF24abzpdnt,1,964,60672.18768520001,60672.18768520001,False,False,1,,,,,60672.18768520001,60672.18768520001,0.0,85.4722737,-8.0490622,0.0656467154622078,0.0649999976158142,bogus,stamp_classifier,0.97346884,26.0.1,bogus,2.91818768331501e+18,F:\ZTF_Adjusted_Dataset\stamps\bogus\ZTF24abzpdnt,,1.0,g,19.61779022216797,0.20986847579479218,0.9484999775886536,-999.0,-999.0,2.937100887298584,-999.0,-999.0,0.5540000200271606,6.809999942779541,f,1.0,964.0,1.1859999895095825,-0.42800000309944153
ZTF26aaodqkw,1,1559,61120.393101899885,61120.393101899885,False,False,1,,,,,61120.393101899885,61120.393101899885,0.0,169.7389339,-20.5551424,0.0694196224212646,0.0649999976158142,bogus,stamp_classifier,0.97287154,27.5.7a32.dev1,bogus,3.366393105615015e+18,F:\ZTF_Adjusted_Dataset\stamps\bogus\ZTF26aaodqkw,,1.0,g,17.55008316040039,0.1264687031507492,0.006666670087724924,0.006833329796791077,0.00708332983776927,10.214653015136719,16.093141555786133,24.12080955505371,0.9829999804496765,2.369999885559082,t,1.0,1559.0,0.6579999923706055,1.496000051498413
ZTF26aamcfpm,1,1186,61115.55028939992,61115.55028939992,False,False,1,,,,,61115.55028939992,61115.55028939992,0.0,233.0476536,-3.1519632,0.0851287841796875,0.0850000008940696,bogus,stamp_classifier,0.9716609,27.5.7a32.dev1,bogus,3.36155028251501e+18,F:\ZTF_Adjusted_Dataset\stamps\bogus\ZTF26aamcfpm,,2.0,r,9.900222778320312,0.21624289453029633,0.9780830144882202,0.0,-999.0,22.901676177978516,26.4429874420166,-999.0,1.0,4.769999980926514,f,1.0,1186.0,0.6460000276565552,-0.3919999897480011
ZTF23abjfcgr,1,1300,60228.25,60228.25,False,False,1,,,,,60228.23121530004,60228.23121530004,0.0,351.1756844,-20.0642508,,,bogus,stamp_classifier,0.9710646,1.2.1,bogus,2.474231210315015e+18,F:\ZTF_Adjusted_Dataset\stamps\bogus\ZTF23abjfcgr,,1.0,g,18.548002243041992,0.13233675062656403,0.0584167018532753,0.9589580297470093,0.2753959894180298,24.94266128540039,26.239084243774414,28.886476516723633,0.04500000178813934,6.949999809265137,t,1.0,1300.0,0.8320000171661377,0.06300000101327896
ZTF22absuknq,1,634,59888.25,59888.25,False,False,1,,,,,59888.18600689992,59888.18600689992,0.0,344.9294722,-8.028559,,,bogus,stamp_classifier,0.9700019,1.1.6,bogus,2.13418600371501e+18,F:\ZTF_Adjusted_Dataset\stamps\bogus\ZTF22absuknq,,1.0,g,18.623382568359375,0.20447677373886108,0.0012499999720603228,0.01488099992275238,0.15549400448799133,13.871603012084961,14.695924758911133,16.041194915771484,1.0,6.75,f,1.0,634.0,1.0509999990463257,0.07100000232458115
ZTF26aaabfcp,1,1838,61049.20804399997,61049.20804399997,False,False,1,,,,,61049.20804399997,61049.20804399997,0.0,68.1822303,-7.3420277,0.0655373409390449,0.0649999976158142,bogus,stamp_classifier,0.9694476,27.5.7a32.dev1,bogus,3.295208045915015e+18,F:\ZTF_Adjusted_Dataset\stamps\bogus\ZTF26aaabfcp,,1.0,g,17.50212860107422,0.10498499870300293,0.5,1.0,0.010833299718797207,11.311140060424805,20.545082092285156,27.332883834838867,0.039000000804662704,6.75,t,1.0,1838.0,1.0140000581741333,-0.5429999828338623
ZTF24aaialfy,3,2096,58314.30158559978,60398.50149310008,False,False,1,,,,,60398.50149310008,60398.50149310008,0.0,273.439342,-19.0763049,0.0687769427895546,0.0649999976158142,bogus,stamp_classifier,0.96942073,23.12.25,bogus,2.644501491315015e+18,F:\ZTF_Adjusted_Dataset\stamps\bogus\ZTF24aaialfy,,1.0,g,15.966736793518066,0.11586593091487885,0.7537500262260437,0.5,0.47717899084091187,4.026523590087891,5.072190761566162,5.085038185119629,0.9950000047683716,1.8165589570999146,t,3.0,2096.0,6.820000171661377,0.26499998569488525
ZTF22abiaehs,25,1006,58350.5,59847.25,False,False,4,1.8076439,,1.9297428,,59822.334560200106,59847.26421299996,24.929652799852192,358.038884875,-19.654158275,0.0001872674802709,3.831904443822102e-05,bogus,stamp_classifier,0.9689211,dev,bogus,2.09326421131501e+18,F:\ZTF_Adjusted_Dataset\stamps\bogus\ZTF22abiaehs,,2.0,r,18.683856964111328,0.10884165018796921,0.23443500697612762,0.5,0.47474899888038635,8.58630084991455,9.186310768127441,11.462779998779297,0.4830000102519989,3.369999885559082,f,25.0,1006.0,21.469999313354492,1.9149999618530273
