oid,ndethist,ncovhist,mjdstarthist,mjdendhist,corrected,stellar,ndet,g_r_max,g_r_max_corr,g_r_mean,g_r_mean_corr,firstmjd,lastmjd,deltajd,meanra,meandec,sigmara,sigmadec,class,classifier,probability,step_id_corr,target_class,candid_used,stamp_dir,stamp_error,fid,fid_band,magpsf,sigmapsf,sgscore1,sgscore2,sgscore3,distpsnr1,distpsnr2,distpsnr3,classtar,fwhm,isdiffpos,alert_ndethist,alert_ncovhist,chinr,sharpnr,objectidps1,sgmag1,srmag1,simag1,szmag1,nmtchps
ZTF20abnfyvl,38,2031,58811.1791782002,59434.43495369982,True,True,12,-0.5064,0.25730067,-0.21591471,0.41609836,59024.38434030023,59434.43495369982,410.050613399595,4.81994255,30.494267966666666,6.080935185269525e-05,4.9699557952367935e-05,AGN,stamp_classifier,0.85856795,correction_1.0.6,AGN,1.29847681131501e+18,F:\ZTF_Adjusted_Dataset\stamps_original\AGN\ZTF20abnfyvl,,1.0,g,20.847415924072266,0.2037739008665084,0.9831249713897704,0.3268389999866485,0.0124166999012231,0.2494929581880569,28.607282638549805,29.04596328735352,0.5989999771118164,1.7400000095367432,f,11.0,1165.0,0.4050000011920929,-0.025000000372529,1.4459004820006368e+17,20.288799285888672,19.95989990234375,19.9325008392334,20.030000686645508,3.0
ZTF21acankdj,309,1536,58670.44078700012,61031.17626160011,True,False,118,,,,,59459.39393519983,61031.17626160011,1571.78232640028,0.0394844037981732,-4.784537611816899,0.0048596771272452,0.004842742946725,AGN,stamp_classifier,0.87343013,27.5.7a32.dev1,AGN,1.71337934091501e+18,F:\ZTF_Adjusted_Dataset\stamps_original\AGN\ZTF21acankdj,,2.0,r,20.60651206970215,0.2032315880060196,0.9979169964790344,0.9635419845581056,0.5,0.0536632165312767,8.036641120910645,19.44697952270508,0.8939999938011169,1.0750579833984375,f,33.0,510.0,0.19200000166893,-0.0080000003799796,1.0225000039509902e+17,19.82150077819824,19.57749938964844,19.492700576782227,19.567699432373047,5.0
ZTF19aadfzqz,242,1445,58336.25,60109.25,True,False,58,-0.293242,-0.24725,-0.15154007,-0.03073906,58465.55046299985,60109.2183681,1643.6679051001556,201.68338163275865,26.04313282931034,5.0474031495197765e-05,5.8273164985177e-05,AGN,stamp_classifier,0.8584827,1.2.0,AGN,7.9337511251501e+17,F:\ZTF_Adjusted_Dataset\stamps_original\AGN\ZTF19aadfzqz,,1.0,g,20.23065757751465,0.2085301578044891,0.8000890016555786,0.5,0.0027083300519734,0.192571148276329,0.2054201662540435,3.8097681999206543,0.8029999732971191,3.9800000190734863,f,13.0,136.0,0.8220000267028809,0.0209999997168779,1.3925201683456226e+17,19.23209953308105,19.655500411987305,19.361900329589844,19.62779998779297,6.0
ZTF20abwfhks,58,658,58642.4210994998,59526.1661111,True,True,26,-0.4122,-0.034805,-0.19087727,0.05760349,59077.41418980016,59526.1661111,448.751921299845,346.6569902576924,-4.110565200000001,5.651598835093429e-05,4.367991758229015e-05,AGN,stamp_classifier,0.8664851,correction_1.0.6,AGN,1.331416342615015e+18,F:\ZTF_Adjusted_Dataset\stamps_original\AGN\ZTF20abwfhks,,1.0,g,20.626781463623047,0.2060884237289428,0.9922500252723694,0.5289350152015686,-999.0,0.24506276845932,8.608851432800293,-999.0,0.902999997138977,1.2012944221496582,t,12.0,272.0,0.7639999985694885,0.0099999997764825,1.0306346656914771e+17,19.999399185180664,19.69599914550781,19.57979965209961,19.61230087280273,2.0
ZTF19abqrxpu,44,489,58694.5,60205.25,True,False,12,0.060069,0.22328083,0.04891415,0.2605598,59061.45250000013,60205.36780089978,1143.915300899651,7.2016588,-25.458945325,7.213988935661396e-05,6.374952584539856e-05,AGN,stamp_classifier,0.87024504,1.2.1,AGN,1.30745249261501e+18,F:\ZTF_Adjusted_Dataset\stamps_original\AGN\ZTF19abqrxpu,,2.0,r,20.3347396850586,0.1987899094820022,0.9762499928474426,0.0006249999860301,0.0,0.4536626636981964,9.91508674621582,16.81751823425293,0.977999985218048,2.5199999809265137,f,7.0,199.0,0.972000002861023,-0.0450000017881393,7.744007201737952e+16,19.745800018310547,19.36930084228516,19.29850006103516,19.379100799560547,6.0
ZTF21abxamlx,142,1188,58667.46248839982,61030.14715280011,True,False,105,,,,,59459.31425930001,61030.14715280011,1570.8328935001043,349.045584751847,-16.293669928754998,0.0073966184720941,0.0070995427153561,AGN,stamp_classifier,0.85821366,27.5.7a32.dev1,AGN,1.70535678391501e+18,F:\ZTF_Adjusted_Dataset\stamps_original\AGN\ZTF21abxamlx,,2.0,r,20.638307571411133,0.2123107314109802,0.9918749928474426,0.9390829801559448,0.5,0.2833706736564636,10.286690711975098,14.666083335876465,0.6779999732971191,1.2875704765319824,f,9.0,378.0,0.5989999771118164,0.0010000000474974,8.844349045585792e+16,19.187000274658203,19.024599075317383,18.884899139404297,18.89940071105957,6.0
ZTF22aankzuf,24,742,59400.5,59770.5,True,False,11,-0.1322,0.060295,0.065675475,0.11991398,59731.454421299975,59770.40513890004,38.95071760006249,336.8291708,1.1908114363636366,7.834290012642903e-05,4.4061440573995286e-05,AGN,stamp_classifier,0.85845995,dev,AGN,1.983432041115015e+18,F:\ZTF_Adjusted_Dataset\stamps_original\AGN\ZTF22aankzuf,,1.0,g,20.655460357666016,0.2169224023818969,0.9900829792022704,0.5,0.735696017742157,0.2059163451194763,1.4924309253692627,10.119924545288086,0.4309999942779541,1.296125888824463,t,15.0,716.0,0.3549999892711639,0.0130000002682209,1.0942336829183946e+17,19.47410011291504,19.41309928894043,19.36910057067871,19.23209953308105,9.0
ZTF19ablozbk,2,376,58397.398321799934,58696.44260419998,True,True,1,,,,,58696.44260419998,58696.44260419998,0.0,30.0134909,-6.337434,,,AGN,stamp_classifier,0.86846745,corr_bulk_0.0.1,AGN,9.42442600615015e+17,F:\ZTF_Adjusted_Dataset\stamps_original\AGN\ZTF19ablozbk,,1.0,g,20.688676834106445,0.2084304243326187,0.993749976158142,0.3987919986248016,0.0,0.250615656375885,25.54863166809082,26.045494079589844,0.796999990940094,1.2527648210525513,t,2.0,376.0,0.4189999997615814,-0.0080000003799796,1.0039030013529546e+17,19.27720069885254,19.104900360107425,18.87730026245117,18.98450088500977,3.0
ZTF20abgdead,22,625,59018.25,59766.25,True,False,5,-0.11800003,0.07655323,-0.12339869,0.081466354,59018.356678199954,59766.35939810006,748.0027199001051,325.13544424,-9.69604798,6.80410023422948e-05,4.931670102533805e-05,AGN,stamp_classifier,0.87397856,dev,AGN,1.26445998341501e+18,F:\ZTF_Adjusted_Dataset\stamps_original\AGN\ZTF20abgdead,,2.0,r,20.71343040466309,0.2043007910251617,0.778423011302948,0.6985359787940979,0.0012499999720603,0.1547710597515106,3.669883966445923,4.044894218444824,0.6959999799728394,1.1516380310058594,f,2.0,206.0,0.3959999978542328,0.0270000007003545,9.6363251355095e+16,19.54490089416504,19.527299880981445,19.5221004486084,19.296199798583984,9.0
ZTF20abojjef,110,3469,59045.445787,61030.0874073999,True,False,49,,,,,59045.445787,61030.0874073999,1984.641620399896,351.19134928155364,-2.030481242504325,0.0095371641939741,0.0095311756469085,AGN,stamp_classifier,0.85691035,27.5.7a32.dev1,AGN,1.32434703351501e+18,F:\ZTF_Adjusted_Dataset\stamps_original\AGN\ZTF20abojjef,,2.0,r,20.346614837646484,0.2125797718763351,0.9738749861717224,1.0,1.0,0.2443592995405197,17.233118057250977,21.53021240234375,0.7110000252723694,1.1294890642166138,f,10.0,526.0,0.8190000057220459,-0.0230000000447034,1.0556351191394371e+17,18.99180030822754,18.74250030517578,18.872299194335938,18.88960075378418,3.0
