oid,ndethist,ncovhist,mjdstarthist,mjdendhist,corrected,stellar,ndet,g_r_max,g_r_max_corr,g_r_mean,g_r_mean_corr,firstmjd,lastmjd,deltajd,meanra,meandec,sigmara,sigmadec,class,classifier,probability,step_id_corr,target_class,candid_used,stamp_dir,stamp_error,fid,fid_band,magpsf,sigmapsf,sgscore1,sgscore2,sgscore3,distpsnr1,distpsnr2,distpsnr3,classtar,fwhm,isdiffpos,alert_ndethist,alert_ncovhist,chinr,sharpnr,objectidps1,sgmag1,srmag1,simag1,szmag1,nmtchps
ZTF20abnfyvl,38,2031,58811.1791782002,59434.43495369982,True,True,12,-0.5064,0.25730067,-0.21591471,0.41609836,59024.38434030023,59434.43495369982,410.050613399595,4.81994255,30.494267966666666,6.080935185269525e-05,4.9699557952367935e-05,AGN,stamp_classifier,0.85856795,correction_1.0.6,AGN,1.29847681131501e+18,F:\ZTF_Adjusted_Dataset\stamps_original\AGN\ZTF20abnfyvl,,1.0,g,20.847415924072266,0.2037739008665084,0.9831249713897704,0.3268389999866485,0.0124166999012231,0.2494929581880569,28.607282638549805,29.04596328735352,0.5989999771118164,1.7400000095367432,f,11.0,1165.0,0.4050000011920929,-0.025000000372529,1.4459004820006368e+17,20.288799285888672,19.95989990234375,19.9325008392334,20.030000686645508,3.0
ZTF21acankdj,309,1536,58670.44078700012,61031.17626160011,True,False,118,,,,,59459.39393519983,61031.17626160011,1571.78232640028,0.0394844037981732,-4.784537611816899,0.0048596771272452,0.004842742946725,AGN,stamp_classifier,0.87343013,27.5.7a32.dev1,AGN,1.71337934091501e+18,F:\ZTF_Adjusted_Dataset\stamps_original\AGN\ZTF21acankdj,,2.0,r,20.60651206970215,0.2032315880060196,0.9979169964790344,0.9635419845581056,0.5,0.0536632165312767,8.036641120910645,19.44697952270508,0.8939999938011169,1.0750579833984375,f,33.0,510.0,0.19200000166893,-0.0080000003799796,1.0225000039509902e+17,19.82150077819824,19.57749938964844,19.492700576782227,19.567699432373047,5.0
ZTF19aadfzqz,242,1445,58336.25,60109.25,True,False,58,-0.293242,-0.24725,-0.15154007,-0.03073906,58465.55046299985,60109.2183681,1643.6679051001556,201.68338163275865,26.04313282931034,5.0474031495197765e-05,5.8273164985177e-05,AGN,stamp_classifier,0.8584827,1.2.0,AGN,7.9337511251501e+17,F:\ZTF_Adjusted_Dataset\stamps_original\AGN\ZTF19aadfzqz,,1.0,g,20.23065757751465,0.2085301578044891,0.8000890016555786,0.5,0.0027083300519734,0.192571148276329,0.2054201662540435,3.8097681999206543,0.8029999732971191,3.9800000190734863,f,13.0,136.0,0.8220000267028809,0.0209999997168779,1.3925201683456226e+17,19.23209953308105,19.655500411987305,19.361900329589844,19.62779998779297,6.0
ZTF20abwfhks,58,658,58642.4210994998,59526.1661111,True,True,26,-0.4122,-0.034805,-0.19087727,0.05760349,59077.41418980016,59526.1661111,448.751921299845,346.6569902576924,-4.110565200000001,5.651598835093429e-05,4.367991758229015e-05,AGN,stamp_classifier,0.8664851,correction_1.0.6,AGN,1.331416342615015e+18,F:\ZTF_Adjusted_Dataset\stamps_original\AGN\ZTF20abwfhks,,1.0,g,20.626781463623047,0.2060884237289428,0.9922500252723694,0.5289350152015686,-999.0,0.24506276845932,8.608851432800293,-999.0,0.902999997138977,1.2012944221496582,t,12.0,272.0,0.7639999985694885,0.0099999997764825,1.0306346656914771e+17,19.999399185180664,19.69599914550781,19.57979965209961,19.61230087280273,2.0
ZTF25abimmlv,18,2042,60901.21668979991,60943.19715279993,True,False,19,,,,,60901.21668979991,60943.19715279993,41.98046300001442,260.25080002129164,20.716900059730616,0.0188426236678559,0.0176242543415297,SN,stamp_classifier,0.90085495,27.5.6,SN,3.147216683715015e+18,F:\ZTF_Adjusted_Dataset\stamps_original\SN\ZTF25abimmlv,,1.0,g,19.887733459472656,0.1610706597566604,0.0005000000237487,0.0991666987538337,0.9745830297470092,0.2949104607105255,13.638446807861328,16.52828598022461,0.959999978542328,2.289999961853028,t,1.0,2014.0,2.3499999046325684,0.1720000058412552,1.3286260250749091e+17,20.26849937438965,19.85110092163086,19.34980010986328,19.318300247192383,8.0
ZTF24abkqqxq,6,1870,59850.390173600055,60585.4671180998,True,False,3,,,,,60585.27048610011,60585.4671180998,0.1966319996863603,12.440779080319691,0.8196786267733543,0.0404339724732713,0.0404298347116235,SN,stamp_classifier,0.9225369,24.5.2a6,SN,2.831467116115015e+18,F:\ZTF_Adjusted_Dataset\stamps_original\SN\ZTF24abkqqxq,,2.0,r,20.66960334777832,0.1369330585002899,0.0039583300240337,0.7157769799232483,0.1034580022096633,1.1505777835845947,10.182539939880373,17.67823600769043,0.875,1.4931164979934692,t,6.0,1870.0,2.446000099182129,0.1480000019073486,1.08980124409224e+17,20.221599578857425,19.50349998474121,19.2716007232666,18.7052001953125,3.0
ZTF24aahaobp,22,2806,60379.3614236,60411.33239579992,True,False,9,,,,,60388.403553199954,60411.33239579992,22.92884259996936,181.6881505406136,29.46999312874804,0.0342407702805007,0.0298104754515667,SN,stamp_classifier,0.90054846,24.4.1,SN,2.634403555315015e+18,F:\ZTF_Adjusted_Dataset\stamps_original\SN\ZTF24aahaobp,,1.0,g,18.6570053100586,0.0850382819771766,0.0480000004172325,0.0423749983310699,0.985207974910736,0.9007991552352904,6.021950721740723,17.33622169494629,0.99099999666214,2.6700000762939453,t,5.0,2754.0,5.323999881744385,0.3740000128746032,1.4336181687900474e+17,19.7544002532959,19.27669906616211,18.65880012512207,18.65290069580078,6.0
ZTF20aaxkacr,250,3603,58967.42451390019,59001.262604199816,False,False,73,0.78229904,0.6961894,0.5110626,0.7285624,58967.42451390019,59001.262604199816,33.838090299628675,239.704410230137,32.54737994657534,0.0001003048017103,4.071514556497778e-05,SN,stamp_classifier,0.9133307,corr_bulk_0.0.1,SN,1.247262602915015e+18,F:\ZTF_Adjusted_Dataset\stamps_original\SN\ZTF20aaxkacr,,2.0,r,19.91562271118164,0.1761159300804138,0.0024999999441206,0.0043750000186264,0.5,1.4230678081512451,15.701386451721191,19.1328182220459,0.9190000295639038,2.9100000858306885,t,250.0,3603.0,5.461999893188477,0.656000018119812,1.4705239704021776e+17,20.23360061645508,19.61230087280273,19.107999801635746,18.79360008239746,5.0
ZTF18abestvy,27,3356,58464.55835650023,60639.55770830018,False,False,2,,,,,58306.19114580005,60639.55770830018,2333.3665625001304,225.38934885001007,12.14178245,0.0614793629442636,0.0601040770330592,VS,stamp_classifier,0.94458616,25.0.0,VS,5.5219114461501005e+17,F:\ZTF_Adjusted_Dataset\stamps_original\VS\ZTF18abestvy,,2.0,r,15.952669143676758,0.1620972454547882,0.9962499737739564,0.5,0.0,1.7010197639465332,10.770062446594238,19.795137405395508,0.9509999752044678,1.7599999904632568,f,1.0,33.0,0.8550000190734863,-0.0439999997615814,1.2257225389253106e+17,13.508500099182127,13.06700038909912,12.77400016784668,12.612000465393066,7.0
ZTF18acrhjra,28,4113,58234.25,60080.25,True,False,8,2.544688,0.9359511,0.27254745,0.67311573,58448.548171299975,60080.266990699805,1631.71881939983,198.46659885000005,29.694197575,0.0001182262479917,5.414099977956687e-05,VS,stamp_classifier,0.9527566,1.2.0,VS,6.94548174915015e+17,F:\ZTF_Adjusted_Dataset\stamps_original\VS\ZTF18acrhjra,,2.0,r,16.366701126098633,0.0537265390157699,0.9627079963684082,0.0,0.5,1.1709007024765017,16.828365325927734,18.108678817749023,0.996999979019165,1.553238034248352,t,2.0,498.0,1.4709999561309814,0.1280000060796737,1.4363198466761366e+17,13.189000129699709,12.61400032043457,12.401000022888184,12.302000045776367,6.0
