oid,ndethist,ncovhist,mjdstarthist,mjdendhist,corrected,stellar,ndet,g_r_max,g_r_max_corr,g_r_mean,g_r_mean_corr,firstmjd,lastmjd,deltajd,meanra,meandec,sigmara,sigmadec,class,classifier,probability,step_id_corr,target_class,candid_used,stamp_dir,stamp_error,fid,fid_band,magpsf,sigmapsf,sgscore1,sgscore2,sgscore3,distpsnr1,distpsnr2,distpsnr3,classtar,fwhm,isdiffpos,alert_ndethist,alert_ncovhist,chinr,sharpnr,objectidps1,sgmag1,srmag1,simag1,szmag1,nmtchps
ZTF17aacriru,29,5012,58041.50949069997,60781.30230320012,True,True,8,,,,,58380.46908560023,60781.30230320012,2400.833217599895,113.81607870921732,30.58654974591521,0.0321704741762213,0.0276943223849495,VS,stamp_classifier,0.94490325,26.0.1,VS,6.264690800150104e+17,F:\ZTF_Adjusted_Dataset\stamps_original\VS\ZTF17aacriru,,2.0,r,15.80251693725586,0.0200236327946186,0.9970830082893372,0.5,0.0029166699387133,0.6138270497322083,2.3088269233703613,27.962533950805664,0.996999979019165,1.686761736869812,f,6.0,192.0,1.1979999542236328,-0.0020000000949949,1.447011381613444e+17,13.656700134277344,13.439000129699709,13.406000137329102,13.412799835205078,3.0
ZTF18abjjgwy,15,3606,58323.25,59971.5,True,False,12,-0.094931,0.168931,-0.41194078,0.12840489,59930.496956000105,59971.46400459996,40.96704859985039,240.3128661083334,74.70515618333332,0.0002889503369051,9.99885432819368e-05,SN,stamp_classifier,0.9411939,1.1.6,SN,2.176496951915015e+18,F:\ZTF_Adjusted_Dataset\stamps_original\SN\ZTF18abjjgwy,,1.0,g,18.681455612182617,0.1048038676381111,0.0,0.5,0.0822023972868919,0.5793218016624451,2.643908739089966,22.080320358276367,0.968999981880188,4.300000190734863,t,3.0,3580.0,5.0329999923706055,0.515999972820282,1.9764240312320688e+17,19.203500747680664,18.77519989013672,18.67099952697754,18.615699768066406,4.0
ZTF20ablwblo,40,1514,59045.36123839999,60586.379756900016,True,True,24,,,,,59045.36123839999,60586.379756900016,1541.01851850003,355.200220800006,-2.075895199998884,0.0850558135533681,0.0849999938174867,AGN,stamp_classifier,0.8656554,24.5.2a6,AGN,1.391273983815015e+18,F:\ZTF_Adjusted_Dataset\stamps_original\AGN\ZTF20ablwblo,,1.0,g,20.286785125732425,0.1767475306987762,1.0,-999.0,-999.0,0.7203652858734131,-999.0,-999.0,0.6970000267028809,3.2300000190734863,t,32.0,493.0,0.7760000228881836,-0.0649999976158142,1.055035520016394e+17,19.35140037536621,19.11289978027344,18.92740058898925,18.884599685668945,1.0
ZTF20abmzsmj,226,1595,59049.41863430012,60949.33278940013,True,True,58,,,,,59049.41863430012,60949.33278940013,1899.9141551000064,14.344167652924328,-0.0879259662290228,0.0096316757585734,0.0096316640646064,AGN,stamp_classifier,0.86624324,27.5.6,AGN,1.29541863581501e+18,F:\ZTF_Adjusted_Dataset\stamps_original\AGN\ZTF20abmzsmj,,2.0,r,20.68112564086914,0.2129972428083419,0.9933329820632936,0.5,0.0235417000949382,0.2408518493175506,8.517441749572754,8.654261589050293,0.8119999766349792,1.232434630393982,f,1.0,352.0,0.9290000200271606,-0.0419999994337558,1.0789014344162502e+17,20.035999298095703,19.54759979248047,19.73539924621582,19.630599975585938,4.0
ZTF20abodaqn,21,1202,58674.44512729999,60920.33829860017,True,True,2,,,,,59053.417963000014,60920.33829860017,1866.9203356001528,359.8368409499959,-16.2196405,0.0478671478655159,0.0459619390912516,AGN,stamp_classifier,0.88330317,27.5.6,AGN,1.29941796421501e+18,F:\ZTF_Adjusted_Dataset\stamps_original\AGN\ZTF20abodaqn,,1.0,g,20.53716468811035,0.207672968506813,0.9697499871253968,0.0916249975562095,0.00604167021811,0.1657392382621765,12.97142219543457,26.155736923217773,0.7089999914169312,2.3399999141693115,f,2.0,255.0,0.3630000054836273,0.0020000000949949,8.853359836802688e+16,19.245899200439453,19.35029983520508,19.23909950256348,19.46299934387207,4.0
ZTF20acvzbez,33,4047,58355.35760420002,61066.15240739984,True,True,3,,,,,59176.150023099966,61066.15240739984,1890.002384299878,4.537468300101192,15.290809033333336,0.0508757894475499,0.0490747733973095,VS,stamp_classifier,0.94469756,27.5.7a32.dev1,VS,1.438145250315015e+18,F:\ZTF_Adjusted_Dataset\stamps_original\VS\ZTF20acvzbez,,2.0,r,14.986550331115724,0.0940395891666412,0.9975000023841858,0.0179939996451139,0.5,2.1269562244415283,16.989126205444336,21.842885971069336,0.7120000123977661,3.25,t,2.0,484.0,1.375,0.0430000014603138,1.263400453796394e+17,13.145000457763672,12.670000076293944,12.491000175476074,12.413000106811523,3.0
ZTF21acmhwpj,30,1413,58667.46474540001,60586.35987270018,True,False,13,,,,,59520.3129745,60586.35987270018,1066.0468982001769,11.66523749999728,2.9739730000003832,0.0851146318200452,0.0849999972019392,AGN,stamp_classifier,0.85649186,24.5.2a6,AGN,1.77031003271501e+18,F:\ZTF_Adjusted_Dataset\stamps_original\AGN\ZTF21acmhwpj,,1.0,g,20.667469024658203,0.1808013916015625,0.9994999766349792,0.0029166699387133,0.0054166698828339,0.1460011452436447,20.32052993774414,24.16349983215332,0.4769999980926513,1.186748743057251,f,10.0,811.0,0.4839999973773956,0.0179999992251396,1.1156011665167923e+17,18.722400665283203,18.59239959716797,18.80590057373047,18.769899368286133,5.0
ZTF23abntiay,1700,2597,58262.3347800998,60697.569838,True,False,5,,,,,60690.5637730998,60697.569838,7.006064900197089,262.9455948600066,-7.35969288,0.0383289277469639,0.0380131560173365,VS,stamp_classifier,0.9624917,26.0.1,VS,2.9435698362150103e+18,F:\ZTF_Adjusted_Dataset\stamps_original\VS\ZTF23abntiay,,2.0,r,14.895063400268556,0.0440779589116573,0.9518629908561708,0.8227800130844116,0.1981430053710937,0.9394524097442628,9.05442714691162,11.462207794189451,0.9879999756813048,5.980000019073486,f,1700.0,2597.0,0.6269999742507935,-0.0270000007003545,9.916262945744888e+16,14.42959976196289,13.41800022125244,12.788000106811523,12.324000358581545,22.0
ZTF24ablozhf,9,1847,60592.19299770007,60603.19969910011,True,False,8,,,,,60592.19299770007,60603.19969910011,11.006701400037857,343.4395853000027,14.327504400001338,0.0877286172076137,0.0849999987403268,SN,stamp_classifier,0.8964342,24.5.2a6,SN,2.838192995015015e+18,F:\ZTF_Adjusted_Dataset\stamps_original\SN\ZTF24ablozhf,,1.0,g,19.795976638793945,0.1341527253389358,0.0,0.5,0.9805709719657898,0.2114238739013672,1.5976344347000122,7.835893154144287,0.9800000190734864,2.0299999713897705,t,1.0,1833.0,1.5440000295639038,0.1650000065565109,1.2519343439541346e+17,21.061199188232425,20.15999984741211,19.85280036926269,19.76849937438965,10.0
ZTF24abzqnif,1,2245,60673.0917014,60673.0917014,False,False,1,,,,,60673.0917014,60673.0917014,0.0,354.5924523,-11.4505233,0.06632000207901,0.0649999976158142,bogus,stamp_classifier,0.9516514,26.0.1,bogus,2.919091701915015e+18,F:\ZTF_Adjusted_Dataset\stamps_original\bogus\ZTF24abzqnif,,1.0,g,16.10569953918457,0.0707918405532836,0.0140832997858524,-999.0,-999.0,15.891063690185549,-999.0,-999.0,0.210999995470047,6.760000228881836,t,1.0,2245.0,0.3459999859333038,-0.270000010728836,9.425354589193592e+16,21.495399475097656,21.57559967041016,21.44599914550781,21.35580062866211,1.0
