oid,ndethist,ncovhist,mjdstarthist,mjdendhist,corrected,stellar,ndet,g_r_max,g_r_max_corr,g_r_mean,g_r_mean_corr,firstmjd,lastmjd,deltajd,meanra,meandec,sigmara,sigmadec,class,classifier,probability,step_id_corr,target_class,candid_used,stamp_dir,stamp_error,fid,fid_band,magpsf,sigmapsf,sgscore1,sgscore2,sgscore3,distpsnr1,distpsnr2,distpsnr3,classtar,fwhm,isdiffpos,alert_ndethist,alert_ncovhist,chinr,sharpnr,objectidps1,sgmag1,srmag1,simag1,szmag1,nmtchps,ablation_prior_file
ZTF25acfwpen,1,1183,61014.12642360013,61014.12642360013,False,False,1,,,,,61014.12642360013,61014.12642360013,0.0,351.8544256,-14.976953800000002,0.0672857016324997,0.0649999976158142,bogus,stamp_classifier,0.95858467,27.5.7a32.dev1,bogus,3.260126426315015e+18,F:\ZTF_Adjusted_Dataset\stamps_original\bogus\ZTF25acfwpen,,1.0,g,16.079267501831055,0.090355634689331,0.9521899819374084,0.4812859892845154,-999.0,11.237049102783203,25.48733901977539,-999.0,0.101000003516674,5.980000019073486,t,1.0,1183.0,0.781000018119812,-0.3319999873638153,9.003351852339088e+16,-999.0,-999.0,21.62360000610352,21.03809928894043,2.0,data_second_roll_out_ablation/priors/gemini25_flash_none/ZTF25acfwpen.json
ZTF26aapnaft,1,1459,61124.18280090019,61124.18280090019,False,False,1,,,,,61124.18280090019,61124.18280090019,0.0,164.666776,-3.2491021,0.0851368531584739,0.0850000008940696,asteroid,stamp_classifier,1.0,27.5.7a32.dev1,asteroid,3.370182802115015e+18,F:\ZTF_Adjusted_Dataset\stamps_original\asteroid\ZTF26aapnaft,,2.0,r,19.6892204284668,0.1426982283592224,0.985207974910736,0.0012499999720603,0.5,5.081493854522705,19.676538467407227,19.75113296508789,0.9800000190734864,2.059999942779541,t,1.0,1459.0,0.9340000152587892,-0.0719999969005584,1.0410164665482077e+17,20.424999237060547,20.13909912109375,19.99040031433105,20.009899139404297,6.0,data_second_roll_out_ablation/priors/gemini25_flash_none/ZTF26aapnaft.json
ZTF26aargnja,2,2136,61116.413935199846,61135.39494210016,False,False,2,,,,,61116.413935199846,61135.39494210016,18.98100690031424,206.36950079998945,-13.40541765,0.0617875433347731,0.0601040770330592,asteroid,stamp_classifier,1.0,27.5.7a32.dev1,asteroid,3.381394940315015e+18,F:\ZTF_Adjusted_Dataset\stamps_original\asteroid\ZTF26aargnja,,2.0,r,17.751636505126953,0.0697434693574905,0.0023749999236315,-999.0,-999.0,27.15496826171875,-999.0,-999.0,0.9760000109672546,5.039999961853027,t,2.0,2136.0,0.824999988079071,-0.1270000040531158,9.192206364793123e+16,22.129600524902344,21.33799934387207,21.02560043334961,20.69059944152832,1.0,data_second_roll_out_ablation/priors/gemini25_flash_none/ZTF26aargnja.json
ZTF26aaodqzq,1,454,61120.39262730023,61120.39262730023,False,False,1,,,,,61120.39262730023,61120.39262730023,0.0,176.9873011,-21.2467881,0.0697403773665428,0.0649999976158142,bogus,stamp_classifier,0.95463294,27.5.7a32.dev1,bogus,3.366392625615015e+18,F:\ZTF_Adjusted_Dataset\stamps_original\bogus\ZTF26aaodqzq,,1.0,g,19.00076484680176,0.2122900635004043,0.0192708000540733,0.0091666700318455,0.1140000000596046,1.578334927558899,18.61290740966797,21.36723518371582,0.9789999723434448,2.069999933242798,t,1.0,454.0,0.6710000038146973,2.04099988937378,8.25017698785042e+16,-999.0,21.42539978027344,21.19230079650879,20.61389923095703,4.0,data_second_roll_out_ablation/priors/gemini25_flash_none/ZTF26aaodqzq.json
ZTF22aabmjzu,1,643,59630.191365700215,59630.191365700215,False,False,1,,,,,59630.191365700215,59630.191365700215,0.0,107.621298,-24.3556073,,,bogus,stamp_classifier,0.9570018,correction_1.0.6,bogus,1.876191361715015e+18,F:\ZTF_Adjusted_Dataset\stamps_original\bogus\ZTF22aabmjzu,,1.0,g,15.598941802978516,0.2162924259901046,0.5,0.9990000128746032,0.8072289824485779,1.5771092176437378,2.2345223426818848,5.274864673614502,0.6209999918937683,4.71999979019165,t,1.0,643.0,0.777999997138977,-0.0140000004321336,7.877107620791368e+16,20.38999938964844,19.756500244140625,-999.0,19.22769927978516,22.0,data_second_roll_out_ablation/priors/gemini25_flash_none/ZTF22aabmjzu.json
ZTF25aacnzsr,1,1553,60695.18959489977,60695.18959489977,False,False,1,,,,,60695.18959489977,60695.18959489977,0.0,78.682774,-25.0672793,0.0717589035630226,0.0649999976158142,bogus,stamp_classifier,0.95673245,26.0.1,bogus,2.941189592915015e+18,F:\ZTF_Adjusted_Dataset\stamps_original\bogus\ZTF25aacnzsr,,1.0,g,19.33890724182129,0.1657491773366928,0.9811670184135436,0.54271399974823,-999.0,14.819130897521973,23.2569580078125,-999.0,0.0489999987185001,6.610000133514404,t,1.0,1553.0,0.9589999914169312,-0.4040000140666961,7.792078687134093e+16,-999.0,21.96839904785156,20.734100341796875,20.10569953918457,2.0,data_second_roll_out_ablation/priors/gemini25_flash_none/ZTF25aacnzsr.json
ZTF24aafpwbr,1,264,60355.39803239983,60355.39803239983,False,False,1,,,,,60355.39803239983,60355.39803239983,0.0,179.5824871,-21.1167041,0.0696790516376495,0.0649999976158142,bogus,stamp_classifier,0.9597403,23.12.25,bogus,2.60139803521501e+18,F:\ZTF_Adjusted_Dataset\stamps_original\bogus\ZTF24aafpwbr,,1.0,g,18.390810012817383,0.1355603486299514,0.1201459988951683,0.997708022594452,0.1025179997086525,15.720755577087402,28.824445724487305,29.917924880981445,0.8700000047683716,6.380000114440918,f,1.0,264.0,1.0110000371932983,1.870000004768372,8.265179583804523e+16,-999.0,-999.0,21.53730010986328,-999.0,3.0,data_second_roll_out_ablation/priors/gemini25_flash_none/ZTF24aafpwbr.json
ZTF26aaantrc,1,1300,61052.27239579987,61052.27239579987,False,False,1,,,,,61052.27239579987,61052.27239579987,0.0,102.5221235,-18.0412953,0.0893952473998069,0.0850000008940696,bogus,stamp_classifier,0.9542379,27.5.7a32.dev1,bogus,3.298272392315015e+18,F:\ZTF_Adjusted_Dataset\stamps_original\bogus\ZTF26aaantrc,,2.0,r,18.16651725769043,0.1519401669502258,0.998332977294922,0.2560420036315918,0.121187999844551,4.472318172454834,8.59889030456543,10.504435539245604,0.3519999980926513,2.953270196914673,t,1.0,1300.0,0.1720000058412552,0.0020000000949949,8.635102520987006e+16,14.712200164794922,13.724900245666504,13.392000198364258,12.991700172424316,17.0,data_second_roll_out_ablation/priors/gemini25_flash_none/ZTF26aaantrc.json
ZTF24abkubkr,9,1188,60528.44283560012,60586.36428239988,True,False,7,,,,,60586.20135420002,60586.36428239988,0.1629281998611986,11.148633567692134,-11.497596938649142,0.0526905976590199,0.051633257804039,SN,stamp_classifier,0.920211,24.5.2a6,SN,2.832201352615015e+18,F:\ZTF_Adjusted_Dataset\stamps_original\SN\ZTF24abkubkr,,1.0,g,21.072799682617188,0.2022715210914611,0.0,0.0,0.5,0.1674314886331558,6.15535306930542,6.298687934875488,0.8029999732971191,1.409999966621399,t,3.0,1181.0,0.5740000009536743,0.0719999969005584,9.420011148642333e+16,21.62190055847168,20.239999771118164,19.83720016479492,19.427600860595703,12.0,data_second_roll_out_ablation/priors/gemini25_flash_none/ZTF24abkubkr.json
ZTF22abvqstd,1,1049,59904.25,59904.25,False,False,1,,,,,59904.29396989988,59904.29396989988,0.0,63.0456075,-9.7067774,,,bogus,stamp_classifier,0.956538,1.1.6,bogus,2.15029396391501e+18,F:\ZTF_Adjusted_Dataset\stamps_original\bogus\ZTF22abvqstd,,1.0,g,19.83639335632324,0.1634016931056976,0.7836670279502869,-999.0,-999.0,13.836430549621582,-999.0,-999.0,0.2649999856948852,4.21999979019165,f,1.0,1049.0,1.2269999980926514,-0.5090000033378601,9.635063041730173e+16,22.05240058898925,21.4606990814209,21.32950019836425,21.11800003051757,1.0,data_second_roll_out_ablation/priors/gemini25_flash_none/ZTF22abvqstd.json
