oid,ndethist,ncovhist,mjdstarthist,mjdendhist,corrected,stellar,ndet,g_r_max,g_r_max_corr,g_r_mean,g_r_mean_corr,firstmjd,lastmjd,deltajd,meanra,meandec,sigmara,sigmadec,class,classifier,probability,step_id_corr,target_class,candid_used,stamp_dir,stamp_error,fid,fid_band,magpsf,sigmapsf,sgscore1,sgscore2,sgscore3,distpsnr1,distpsnr2,distpsnr3,classtar,fwhm,isdiffpos,alert_ndethist,alert_ncovhist,chinr,sharpnr,objectidps1,sgmag1,srmag1,simag1,szmag1,nmtchps,ablation_prior_file
ZTF26aapmzwm,1,1550,61124.18091440015,61124.18091440015,False,False,1,,,,,61124.18091440015,61124.18091440015,0.0,167.3579676,11.3799725,0.086704596877098,0.0850000008940696,asteroid,stamp_classifier,1.0,27.5.7a32.dev1,asteroid,3.370180911715015e+18,F:\ZTF_Adjusted_Dataset\stamps_original\asteroid\ZTF26aapmzwm,,2.0,r,19.75827980041504,0.1692829728126526,0.012708299793303,0.9958329796791076,-999.0,12.200335502624512,12.932011604309082,-999.0,0.9739999771118164,1.7000000476837158,t,1.0,1550.0,0.6570000052452087,-0.0750000029802322,1.2165167361169506e+17,-999.0,22.335399627685547,-999.0,21.54319953918457,2.0,data_second_roll_out_ablation/priors/gpt54_high/ZTF26aapmzwm.json
ZTF26aapnacg,2,2821,58592.17291670013,61124.18137730006,False,False,1,,,,,61124.18137730006,61124.18137730006,0.0,175.0305285,2.0604646,0.0850549936294555,0.0850000008940696,asteroid,stamp_classifier,1.0,27.5.7a32.dev1,asteroid,3.3701813700150154e+18,F:\ZTF_Adjusted_Dataset\stamps_original\asteroid\ZTF26aapnacg,,2.0,r,19.5886344909668,0.1778612285852432,0.6862679719924927,1.0,0.8741670250892639,6.722672462463379,20.901899337768555,22.243555068969727,0.9990000128746032,2.359999895095825,t,2.0,2821.0,0.4250000119209289,-0.181999996304512,1.1047175028823251e+17,-999.0,-999.0,21.94659996032715,-999.0,5.0,data_second_roll_out_ablation/priors/gpt54_high/ZTF26aapnacg.json
ZTF23abfjpgl,38,1482,59054.45783559978,60586.35646989988,True,False,10,,,,,60585.2416087999,60586.35646989988,1.1148610999807715,355.0677562749998,0.1864733249996943,0.0325001737933588,0.0324999987047164,AGN,stamp_classifier,0.86750084,24.5.2a6,AGN,2.83124160541501e+18,F:\ZTF_Adjusted_Dataset\stamps_original\AGN\ZTF23abfjpgl,,1.0,g,20.923452377319336,0.1821658611297607,0.993749976158142,0.9935420155525208,0.5,0.3895591795444488,15.578269958496094,16.91617774963379,0.9869999885559082,1.2900205850601196,f,29.0,1463.0,0.6579999923706055,0.0209999997168779,1.0822355067798426e+17,19.38710021972656,19.09630012512207,19.11470031738281,19.018999099731445,6.0,data_second_roll_out_ablation/priors/gpt54_high/ZTF23abfjpgl.json
ZTF26aapnali,1,1475,61124.18232640019,61124.18232640019,False,False,1,,,,,61124.18232640019,61124.18232640019,0.0,164.2094365,1.7225571,0.0850384309887886,0.0850000008940696,asteroid,stamp_classifier,1.0,27.5.7a32.dev1,asteroid,3.3701823208150154e+18,F:\ZTF_Adjusted_Dataset\stamps_original\asteroid\ZTF26aapnali,,2.0,r,19.993194580078125,0.1790256947278976,0.2215240001678466,0.5,0.9970830082893372,9.716819763183594,11.765477180480955,17.27748680114746,0.9760000109672546,2.150000095367432,t,1.0,1475.0,1.0729999542236328,-0.0260000005364418,1.1006164208242464e+17,-999.0,-999.0,21.70800018310547,20.883899688720703,6.0,data_second_roll_out_ablation/priors/gpt54_high/ZTF26aapnali.json
ZTF24aaejcnf,1,612,60351.33843749994,60351.33843749994,False,False,1,,,,,60351.33843749994,60351.33843749994,0.0,119.203693,-27.8137419,0.0734904110431671,0.0649999976158142,bogus,stamp_classifier,0.95796597,23.12.25,bogus,2.597338431115015e+18,F:\ZTF_Adjusted_Dataset\stamps_original\bogus\ZTF24aaejcnf,,1.0,g,16.412996292114258,0.1174908801913261,0.5,0.8949459791183472,0.5,5.3963727951049805,6.68378210067749,6.835623264312744,0.5730000138282776,3.2699999809265137,t,1.0,612.0,0.2430000007152557,0.0,7.462119202223426e+16,12.37600040435791,12.18000030517578,12.142000198364258,12.159000396728516,34.0,data_second_roll_out_ablation/priors/gpt54_high/ZTF24aaejcnf.json
ZTF19aaeoqtf,3,1379,58508.51408560015,58526.52634260012,False,False,3,0.8784714,,0.5610218,,58508.51408560015,58526.52634260012,18.012256999965757,241.780492,36.73146126666666,2.827295527800097e-05,2.2093060750029265e-05,SN,stamp_classifier,0.9192342,corr_bulk_0.0.1,SN,7.72526345715015e+17,F:\ZTF_Adjusted_Dataset\stamps_original\SN\ZTF19aaeoqtf,,2.0,r,19.902313232421875,0.1873685866594314,0.5,0.0970060005784034,0.0108749996870756,1.1204454898834229,1.6402676105499268,12.291309356689451,0.871999979019165,2.7100000381469727,t,3.0,1379.0,5.706999778747559,0.546999990940094,1.5207241780914848e+17,-999.0,-999.0,19.097000122070312,-999.0,7.0,data_second_roll_out_ablation/priors/gpt54_high/ZTF19aaeoqtf.json
ZTF26aargnnc,1,1503,61135.39400460012,61135.39400460012,False,False,1,,,,,61135.39400460012,61135.39400460012,0.0,206.1063994,3.8412648,0.0851913839578628,0.0850000008940696,asteroid,stamp_classifier,1.0,27.5.7a32.dev1,asteroid,3.381394002115015e+18,F:\ZTF_Adjusted_Dataset\stamps_original\asteroid\ZTF26aargnnc,,2.0,r,19.235441207885746,0.1526886224746704,0.9922500252723694,0.7668750286102295,0.0171725992113351,7.19681453704834,22.42208671569824,22.844268798828125,0.9819999933242798,2.0299999713897705,t,1.0,1503.0,1.6419999599456787,-0.1059999987483024,1.1260206104489997e+17,21.574499130249023,20.590700149536133,20.08329963684082,19.847700119018555,5.0,data_second_roll_out_ablation/priors/gpt54_high/ZTF26aargnnc.json
ZTF24abkoauk,4,1552,60585.32364579989,60586.182407400105,False,False,4,,,,,60585.32364579989,60586.182407400105,0.8587616002187133,9.987663312119434,0.6905050850017792,0.0441326555445928,0.0441294487377449,SN,stamp_classifier,0.92391837,24.5.2a6,SN,2.831346925215015e+18,F:\ZTF_Adjusted_Dataset\stamps_original\SN\ZTF24abkoauk,,2.0,r,21.364370346069336,0.1885774284601211,0.0188333000987768,0.9607920050621032,-999.0,0.2742269337177276,21.5875301361084,-999.0,0.9879999756813048,1.5299999713897705,t,2.0,1541.0,0.671999990940094,0.0790000036358833,1.0882009987644898e+17,21.862199783325195,21.49180030822754,21.487499237060547,21.029600143432617,2.0,data_second_roll_out_ablation/priors/gpt54_high/ZTF24abkoauk.json
ZTF26aadfawx,1,420,61060.52270830004,61060.52270830004,False,False,1,,,,,61060.52270830004,61060.52270830004,0.0,177.239597,-20.9513721,0.0696017742156982,0.0649999976158142,bogus,stamp_classifier,0.9558606,27.5.7a32.dev1,bogus,3.306522705615015e+18,F:\ZTF_Adjusted_Dataset\stamps_original\bogus\ZTF26aadfawx,,1.0,g,18.677305221557617,0.1889628171920776,0.5,0.0012499999720603,0.0,17.46834373474121,17.90271759033203,21.95483589172364,0.9829999804496764,5.480000019073486,t,1.0,420.0,1.1349999904632568,1.781000018119812,8.285177243130445e+16,-999.0,-999.0,21.206499099731445,20.760099411010746,4.0,data_second_roll_out_ablation/priors/gpt54_high/ZTF26aadfawx.json
ZTF22abtqldp,1,1494,59897.25,59897.25,False,False,1,,,,,59897.22864580015,59897.22864580015,0.0,358.3321123,-1.5050618,,,bogus,stamp_classifier,0.9563035,1.1.6,bogus,2.1432286445150152e+18,F:\ZTF_Adjusted_Dataset\stamps_original\bogus\ZTF22abtqldp,,2.0,r,19.26230812072754,0.1975225508213043,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.9679999947547911,1.6100000143051147,t,1.0,1494.0,0.328000009059906,0.328000009059906,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,data_second_roll_out_ablation/priors/gpt54_high/ZTF22abtqldp.json
