oid,ndethist,ncovhist,mjdstarthist,mjdendhist,corrected,stellar,ndet,g_r_max,g_r_max_corr,g_r_mean,g_r_mean_corr,firstmjd,lastmjd,deltajd,meanra,meandec,sigmara,sigmadec,class,classifier,probability,step_id_corr,target_class,candid_used,stamp_dir,stamp_error,fid,fid_band,magpsf,sigmapsf,sgscore1,sgscore2,sgscore3,distpsnr1,distpsnr2,distpsnr3,classtar,fwhm,isdiffpos,alert_ndethist,alert_ncovhist,chinr,sharpnr,objectidps1,sgmag1,srmag1,simag1,szmag1,nmtchps,ablation_prior_file
ZTF19abkemwb,239,976,58670.5,60254.25,True,False,107,0.216632,0.133575,0.069253325,0.04695749,58670.4626042,60254.201481500175,1583.738877300173,352.84732875794384,-10.870527567289718,8.145043409697492e-05,5.779750398693231e-05,AGN,stamp_classifier,0.8671418,1.2.1,AGN,9.40427822315015e+17,F:\ZTF_Adjusted_Dataset\stamps_original\AGN\ZTF19abkemwb,,1.0,g,20.770523071289062,0.2145054340362548,0.5476670265197754,0.478219985961914,0.0,0.1276352107524871,4.278923034667969,18.588340759277344,0.6449999809265137,1.2156660556793213,t,3.0,42.0,1.2089999914169312,0.0340000018477439,9.49535284747958e+16,19.34910011291504,20.028499603271484,19.6825008392334,19.36910057067871,9.0,data_second_roll_out_ablation/priors/gpt54_none/ZTF19abkemwb.json
ZTF25acixjxo,6,1960,61024.09788190015,61030.13959489996,True,False,6,,,,,61024.09788190015,61030.13959489996,6.041712999809533,298.3215196143463,57.11269843318738,0.0549007659427992,0.0298104754913835,SN,stamp_classifier,0.91330653,27.5.7a32.dev1,SN,3.274094166315015e+18,F:\ZTF_Adjusted_Dataset\stamps_original\SN\ZTF25acixjxo,,2.0,r,19.901546478271484,0.1320444643497467,0.0029166699387133,1.0,0.984291970729828,0.3014165759086609,17.994091033935547,18.1798038482666,0.9679999947547911,1.5800000429153442,t,4.0,1958.0,4.961999893188477,0.4390000104904175,1.7653298321632608e+17,20.178800582885746,20.05030059814453,19.528200149536133,19.62579917907715,12.0,data_second_roll_out_ablation/priors/gpt54_none/ZTF25acixjxo.json
ZTF25acdysxw,1,956,60991.39793979982,60991.39793979982,False,False,1,,,,,60991.39793979982,60991.39793979982,0.0,82.6681572,-24.3429536,0.0713427662849426,0.0649999976158142,bogus,stamp_classifier,0.9603781,27.5.7a32.dev1,bogus,3.23739793211501e+18,F:\ZTF_Adjusted_Dataset\stamps_original\bogus\ZTF25acdysxw,,1.0,g,14.495640754699709,0.1874597668647766,0.8067079782485962,0.7168390154838562,0.9876790046691896,11.872797012329102,13.33721923828125,18.475643157958984,0.6990000009536743,4.889999866485596,f,1.0,956.0,3.796999931335449,0.2599999904632568,7.879082671559011e+16,-999.0,-999.0,21.138999938964844,20.612699508666992,5.0,data_second_roll_out_ablation/priors/gpt54_none/ZTF25acdysxw.json
ZTF21aclkjzi,10,2985,59512.13256940013,59525.13824070012,True,False,6,0.1961,0.540207,0.030208036,0.4974083,59512.13256940013,59525.13824070012,13.005671299993992,258.00823266666663,63.866443233333335,0.0001127395346179,7.657434731560124e-05,SN,stamp_classifier,0.90584487,correction_1.0.6,SN,1.769097014015015e+18,F:\ZTF_Adjusted_Dataset\stamps_original\SN\ZTF21aclkjzi,,2.0,r,20.03512191772461,0.1796710342168808,0.0,0.5,1.0,0.8981707096099854,1.3118952512741089,13.175535202026367,0.9729999899864196,2.259999990463257,t,5.0,2980.0,5.298999786376953,0.4970000088214874,1.846425800879705e+17,20.63279914855957,19.86800003051757,19.32699966430664,19.41670036315918,8.0,data_second_roll_out_ablation/priors/gpt54_none/ZTF21aclkjzi.json
ZTF23abmsovz,10,3039,60237.25,60253.25,True,False,7,0.9519,0.5166624,0.67267734,0.4770879,60237.15681710001,60253.15956019983,16.002743099816144,274.6800976428571,47.58936587142857,0.0001467851588511,8.637474002385967e-05,SN,stamp_classifier,0.9120862,1.2.1,SN,2.485110822015015e+18,F:\ZTF_Adjusted_Dataset\stamps_original\SN\ZTF23abmsovz,,2.0,r,19.808124542236328,0.14099882543087,0.0033333299215883,0.023666700348258,0.0645971968770027,0.88224858045578,10.023846626281738,10.910146713256836,0.975000023841858,1.1625542640686035,t,5.0,3025.0,5.50600004196167,0.2899999916553497,1.651027468029782e+17,18.450899124145508,18.140600204467773,17.960500717163086,17.909299850463867,11.0,data_second_roll_out_ablation/priors/gpt54_none/ZTF23abmsovz.json
ZTF24aaiulbk,25,3585,60407.45341440011,60434.360960599966,True,False,8,,,,,60412.44785880018,60434.360960599966,21.91310179978609,246.31277460947848,61.47788961965168,0.0540664825842865,0.0258166290744315,SN,stamp_classifier,0.91492313,24.4.1,SN,2.658447852415015e+18,F:\ZTF_Adjusted_Dataset\stamps_original\SN\ZTF24aaiulbk,,2.0,r,19.89340591430664,0.1221939772367477,0.0,0.7867079973220825,0.9941669702529908,0.8654887676239014,4.780361175537109,8.133687019348145,0.9769999980926514,1.919999957084656,t,5.0,3548.0,2.430999994277954,0.1570000052452087,1.817724631263743e+17,21.20989990234375,20.61260032653809,20.31049919128418,19.902299880981445,7.0,data_second_roll_out_ablation/priors/gpt54_none/ZTF24aaiulbk.json
ZTF24abnpelc,44,2938,58695.31196760014,60647.10070599988,True,False,27,,,,,60602.25777779985,60639.16004629992,36.902268500067294,280.3518850380135,70.34252975313548,0.0411794055453929,0.0138526004162944,SN,stamp_classifier,0.9074038,25.0.0,SN,2.850200214015015e+18,F:\ZTF_Adjusted_Dataset\stamps_original\SN\ZTF24abnpelc,,2.0,r,18.755598068237305,0.0999165102839469,0.0045833298936486,0.5,0.5,0.6320592164993286,1.9823094606399536,2.402494668960572,1.0,2.25,t,9.0,2889.0,4.14900016784668,0.2409999966621399,1.92412803519382e+17,18.806299209594727,17.973400115966797,17.571699142456055,17.414600372314453,13.0,data_second_roll_out_ablation/priors/gpt54_none/ZTF24abnpelc.json
ZTF23aacjhqg,1,696,59991.25,59991.25,False,False,1,,,,,59991.19020830002,59991.19020830002,0.0,97.9454738,-19.6149583,,,bogus,stamp_classifier,0.9550753,1.1.6,bogus,2.237190201215015e+18,F:\ZTF_Adjusted_Dataset\stamps_original\bogus\ZTF23aacjhqg,,1.0,g,17.554447174072266,0.1361775249242782,0.8962979912757874,0.8412079811096191,0.9760419726371764,3.833051443099976,7.820410251617432,18.45291328430176,0.0740000009536743,6.599999904632568,t,1.0,696.0,0.9959999918937684,-0.0299999993294477,8.446097946299333e+16,-999.0,-999.0,20.81439971923828,20.29750061035156,12.0,data_second_roll_out_ablation/priors/gpt54_none/ZTF23aacjhqg.json
ZTF25abteuhe,1,843,60942.312349500135,60942.312349500135,False,False,1,,,,,60942.312349500135,60942.312349500135,0.0,351.8976909,-21.5688866,0.0914001837372779,0.0850000008940696,bogus,stamp_classifier,0.9552001,27.5.6,bogus,3.18831234581501e+18,F:\ZTF_Adjusted_Dataset\stamps_original\bogus\ZTF25abteuhe,,2.0,r,18.52220344543457,0.0885904356837272,0.0,0.986292004585266,0.0114583000540733,6.9195756912231445,27.60383415222168,27.836864471435547,0.7670000195503235,5.380000114440918,f,1.0,843.0,1.4049999713897705,0.0299999993294477,8.211351896864987e+16,20.98349952697754,20.384599685668945,19.887300491333008,19.833499908447266,5.0,data_second_roll_out_ablation/priors/gpt54_none/ZTF25abteuhe.json
ZTF25acfjnej,7,2407,61008.51334490022,61024.55313660018,False,False,5,,,,,61008.51334490022,61024.55313660018,16.039791699964553,209.33573789999264,28.57359674,0.0432851351987746,0.0380131560173365,SN,stamp_classifier,0.913529,27.5.7a32.dev1,SN,3.254513345815015e+18,F:\ZTF_Adjusted_Dataset\stamps_original\SN\ZTF25acfjnej,,2.0,r,19.122398376464844,0.1341948509216308,0.0681250020861625,0.0758332982659339,0.000833333004266,4.10817813873291,8.62711238861084,14.00814151763916,0.9729999899864196,2.759999990463257,t,1.0,2391.0,8.144000053405762,1.1399999856948853,1.4229209335197016e+17,18.65279960632324,18.56879997253418,18.24530029296875,18.137800216674805,4.0,data_second_roll_out_ablation/priors/gpt54_none/ZTF25acfjnej.json
