oid,ndethist,ncovhist,mjdstarthist,mjdendhist,corrected,stellar,ndet,g_r_max,g_r_max_corr,g_r_mean,g_r_mean_corr,firstmjd,lastmjd,deltajd,meanra,meandec,sigmara,sigmadec,class,classifier,probability,step_id_corr,target_class,candid_used,stamp_dir,stamp_error,fid,fid_band,magpsf,sigmapsf,sgscore1,sgscore2,sgscore3,distpsnr1,distpsnr2,distpsnr3,classtar,fwhm,isdiffpos,alert_ndethist,alert_ncovhist,chinr,sharpnr,objectidps1,sgmag1,srmag1,simag1,szmag1,nmtchps,ablation_prior_file
ZTF26aargnwj,1,1107,61135.395416699816,61135.395416699816,False,False,1,,,,,61135.395416699816,61135.395416699816,0.0,194.0106404,-13.221692,0.0873145014047622,0.0850000008940696,asteroid,stamp_classifier,1.0,27.5.7a32.dev1,asteroid,3.381395411015015e+18,F:\ZTF_Adjusted_Dataset\stamps_original\asteroid\ZTF26aargnwj,,2.0,r,18.933618545532227,0.1388327479362487,0.996749997138977,0.8757500052452087,0.9743750095367432,10.170782089233398,16.187633514404297,17.38091468811035,0.9829999804496764,1.8600000143051147,t,1.0,1107.0,0.6370000243186951,-0.1669999957084655,9.213194010815096e+16,21.63109970092773,20.829599380493164,19.689599990844727,19.14889907836914,5.0,data_second_roll_out_ablation/priors/opus47_think/ZTF26aargnwj.json
ZTF26aapnact,1,1397,61124.18280090019,61124.18280090019,False,False,1,,,,,61124.18280090019,61124.18280090019,0.0,160.9095553,-5.1792247,0.0853484645485878,0.0850000008940696,asteroid,stamp_classifier,1.0,27.5.7a32.dev1,asteroid,3.370182801315015e+18,F:\ZTF_Adjusted_Dataset\stamps_original\asteroid\ZTF26aapnact,,2.0,r,19.916513442993164,0.1789539605379104,0.046833299100399,0.9987499713897704,-999.0,20.95436668395996,25.467220306396484,-999.0,0.9300000071525574,2.150000095367432,t,1.0,1397.0,0.7250000238418579,-0.238999992609024,1.017716090886586e+17,-999.0,22.21260070800781,21.59980010986328,-999.0,2.0,data_second_roll_out_ablation/priors/opus47_think/ZTF26aapnact.json
ZTF25aacnewf,1,699,60695.14732640004,60695.14732640004,False,False,1,,,,,60695.14732640004,60695.14732640004,0.0,31.3494883,-26.4176476,0.0725790858268737,0.0649999976158142,bogus,stamp_classifier,0.9654178,26.0.1,bogus,2.941147320515015e+18,F:\ZTF_Adjusted_Dataset\stamps_original\bogus\ZTF25aacnewf,,1.0,g,17.77671241760254,0.1198551058769226,0.4697979986667633,0.0037499999161809,0.5,14.918437004089355,15.201345443725586,15.278520584106444,0.0379999987781047,6.440000057220459,t,1.0,699.0,1.5399999618530271,-0.4410000145435333,7.629031349397389e+16,21.41320037841797,21.455699920654297,21.11709976196289,-999.0,7.0,data_second_roll_out_ablation/priors/opus47_think/ZTF25aacnewf.json
ZTF19acjntkn,2,442,58784.52318290016,58784.52318290016,False,False,1,,,,,58784.52318290016,58784.52318290016,0.0,110.2446665,-15.6954909,,,bogus,stamp_classifier,0.95666444,corr_bulk_0.0.1,bogus,1.030523183315015e+18,F:\ZTF_Adjusted_Dataset\stamps_original\bogus\ZTF19acjntkn,,2.0,r,18.085378646850582,0.1924153417348861,0.9975000023841858,0.9747920036315918,0.9900000095367432,4.816020965576172,5.0839457511901855,11.899150848388672,0.0189999993890523,3.096804141998291,t,2.0,442.0,0.777999997138977,-0.0379999987781047,8.916110244157726e+16,14.70699977874756,14.543700218200684,14.462900161743164,14.44849967956543,20.0,data_second_roll_out_ablation/priors/opus47_think/ZTF19acjntkn.json
ZTF26aapmzwl,1,1442,61124.18091440015,61124.18091440015,False,False,1,,,,,61124.18091440015,61124.18091440015,0.0,167.7695405,11.4428112,0.0867237895727157,0.0850000008940696,asteroid,stamp_classifier,1.0,27.5.7a32.dev1,asteroid,3.370180911715015e+18,F:\ZTF_Adjusted_Dataset\stamps_original\asteroid\ZTF26aapmzwl,,2.0,r,19.34627914428711,0.1206638440489769,0.0077499998733401,0.0079166702926158,-999.0,20.968334197998047,27.50944328308105,-999.0,0.9980000257492064,2.049999952316284,t,1.0,1442.0,0.7020000219345093,-0.1609999984502792,1.2173167773628688e+17,-999.0,-999.0,22.103599548339844,-999.0,2.0,data_second_roll_out_ablation/priors/opus47_think/ZTF26aapmzwl.json
ZTF25abmxrej,1,1240,60916.41315970011,60916.41315970011,False,False,1,,,,,60916.41315970011,60916.41315970011,0.0,25.315578400000003,-19.4549385,0.0901470631361007,0.0850000008940696,bogus,stamp_classifier,0.9613771,27.5.6,bogus,3.162413150115015e+18,F:\ZTF_Adjusted_Dataset\stamps_original\bogus\ZTF25abmxrej,,2.0,r,19.54788589477539,0.2146543860435485,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.8679999709129333,2.5299999713897705,t,1.0,1240.0,0.7680000066757202,0.3379999995231628,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,data_second_roll_out_ablation/priors/opus47_think/ZTF25abmxrej.json
ZTF19aagnjon,26,2932,58103.46012730012,60576.51765049994,False,False,3,,,,,58513.41118060006,60576.51765049994,2063.1064698998816,136.81914200000082,0.8489567499991342,0.0601106729060349,0.0601040769242788,VS,stamp_classifier,0.94733727,24.5.2a6,VS,7.5941118521501e+17,F:\ZTF_Adjusted_Dataset\stamps_original\VS\ZTF19aagnjon,,2.0,r,17.329004287719727,0.2016545236110687,0.9489579796791076,0.5,0.5,1.8018229007720947,14.2798433303833,14.611238479614258,0.6909999847412109,1.231152892112732,f,1.0,94.0,0.3589999973773956,0.003000000026077,1.0901136819002915e+17,13.093000411987305,12.644000053405762,12.470000267028809,12.394000053405762,6.0,data_second_roll_out_ablation/priors/opus47_think/ZTF19aagnjon.json
ZTF26aargnjd,1,1966,61135.39494210016,61135.39494210016,False,False,1,,,,,61135.39494210016,61135.39494210016,0.0,205.8098761,-13.317244699999998,0.087348848581314,0.0850000008940696,asteroid,stamp_classifier,1.0,27.5.7a32.dev1,asteroid,3.381394940315015e+18,F:\ZTF_Adjusted_Dataset\stamps_original\asteroid\ZTF26aargnjd,,2.0,r,18.58063697814941,0.1264625638723373,0.9920830130577089,0.5,0.5,11.954211235046388,21.93227195739746,22.97965812683105,0.9819999933242798,3.2799999713897705,t,1.0,1966.0,0.7509999871253967,0.0219999998807907,9.202205807388237e+16,19.24139976501465,18.876399993896484,18.744400024414062,18.693300247192383,6.0,data_second_roll_out_ablation/priors/opus47_think/ZTF26aargnjd.json
ZTF24aatspzt,1,1695,60489.368784700055,60489.368784700055,False,False,1,,,,,60489.368784700055,60489.368784700055,0.0,261.3395778,-26.428358000000003,0.0949199348688125,0.0850000008940696,bogus,stamp_classifier,0.9636179,24.5.2a6,bogus,2.735368781315015e+18,F:\ZTF_Adjusted_Dataset\stamps_original\bogus\ZTF24aatspzt,,2.0,r,18.05052757263184,0.2009990811347961,0.9244580268859864,0.5,0.5,3.0806119441986084,4.393001556396484,7.032894611358643,0.6430000066757202,2.237205982208252,t,1.0,1695.0,0.6100000143051147,-0.0419999994337558,7.628261340358691e+16,16.82539939880371,14.88259983062744,13.84220027923584,13.17549991607666,168.0,data_second_roll_out_ablation/priors/opus47_think/ZTF24aatspzt.json
ZTF26aaodqkw,1,1559,61120.393101899885,61120.393101899885,False,False,1,,,,,61120.393101899885,61120.393101899885,0.0,169.7389339,-20.5551424,0.0694196224212646,0.0649999976158142,bogus,stamp_classifier,0.97287154,27.5.7a32.dev1,bogus,3.366393105615015e+18,F:\ZTF_Adjusted_Dataset\stamps_original\bogus\ZTF26aaodqkw,,1.0,g,17.55008316040039,0.1264687031507492,0.0066666700877249,0.006833329796791,0.0070833298377692,10.21465301513672,16.093141555786133,24.12080955505371,0.9829999804496764,2.369999885559082,t,1.0,1559.0,0.6579999923706055,1.496000051498413,8.333169736252586e+16,21.694900512695312,21.444299697875977,21.030500411987305,20.548900604248047,4.0,data_second_roll_out_ablation/priors/opus47_think/ZTF26aaodqkw.json
